OrbitalRadius[km],Inclination[deg],RAAN[deg],MeanAnomaly[deg]
26558.2,54.84,71.95,-112.83
26559.6,55.13,62.67,-29.25
26557.9,56.98,128.76,129.71
26559.1,55.70,-170.02,-60.98
26559.7,56.20,125.26,-27.00
26559.2,56.48,69.29,-157.15
26558.0,54.47,-112.30,156.65
26559.4,54.00,4.87,-45.25
26559.4,55.37,-173.74,-9.77
26558.6,56.95,128.62,73.33
26558.3,55.16,70.23,-86.77
26559.1,54.93,-48.19,112.92
26558.1,54.95,-54.41,102.22
26558.5,53.97,-51.42,106.08
26559.6,54.12,177.86,-102.85
26558.9,54.87,-47.23,15.85
26558.6,54.91,10.95,-45.44
26558.3,55.62,68.92,-158.40
26559.7,54.85,13.46,50.74
26558.1,55.11,-173.45,105.05
26557.8,55.24,128.94,87.15
26559.2,54.84,-47.03,-9.62
26559.3,56.66,126.75,132.62
26558.2,53.57,-118.63,-147.63
26558.6,54.25,-53.64,108.42
26559.6,53.15,-58.02,59.55
26558.8,54.53,6.75,-37.75
26558.1,55.10,-113.70,-160.40
26559.2,55.05,11.93,-52.17
26559.0,53.64,-112.90,140.35
26558.2,54.69,-110.89,94.69
26560.0,55.55,-172.75,-8.63
