OBJECT_NAME,OrbitalRadius[km],Inclination[deg],RAAN[deg],MeanAnomaly[deg]
KUIPER-00008,7007.76439746359,51.9005,18.3918,255.0865
KUIPER-00009,7008.16699174914,51.9043,35.9522,334.615
KUIPER-00010,7007.66301056754,51.902,13.3171,248.2052
KUIPER-00011,7007.65873318626,51.9026,21.0562,255.9968
KUIPER-00012,7007.67239557534,51.9036,6.0662,255.6284
KUIPER-00013,7007.67442852432,51.9023,38.588,268.1963
KUIPER-00014,7007.6861180096,51.9025,38.3807,271.9933
KUIPER-00015,7007.68260452969,51.9005,50.4405,260.0113
KUIPER-00016,7008.03759558483,51.9018,45.3893,177.0149
KUIPER-00018,7007.67523034001,51.9049,31.0377,258.8184
KUIPER-00019,7007.68412609008,51.9025,29.6851,251.2508
KUIPER-00020,7007.66201619419,51.9031,33.2588,268.8757
KUIPER-00021,7007.68669569809,51.9028,33.3658,253.3005
KUIPER-00023,7007.64313579436,51.9022,35.7168,251.5463
KUIPER-00024,7007.67712439373,51.9064,23.5475,251.0887
KUIPER-00025,7007.56332560448,51.9058,30.9143,247.8052
KUIPER-00027,7007.67419492452,51.9012,26.0124,354.9497
KUIPER-00028,7007.66011268047,51.9012,25.6977,253.0529
KUIPER-00029,7007.37965368793,51.9022,22.0949,234.2873
KUIPER-00030,7007.7418576056,51.9033,43.1377,259.7956
KUIPER-00031,7018.76377134,51.9029,25.071,260.1918
KUIPER-00032,6823.78122761047,51.8687,274.7285,254.3915
KUIPER-00033,7007.6559678864,51.9003,57.7845,255.762
KUIPER-00034,7007.68231726424,51.9032,18.3451,256.0608
KUIPER-00035,7007.68367151594,51.902,43.4432,255.3318
KUIPER-00037,7007.70408638717,51.9027,42.3307,261.5255
KUIPER-00038,7007.67711492346,51.903,28.5387,267.6743
KUIPER-00039,7007.6920495818,51.8994,166.0475,283.6861
KUIPER-00040,7007.70096116917,51.896,173.9455,326.9978
KUIPER-00041,7007.64985014368,51.8977,176.4877,277.8356
KUIPER-00042,7007.69442032013,51.8984,173.6834,282.9875
KUIPER-00043,7007.66049148907,51.9,164.0467,302.49
KUIPER-00044,7007.67550497772,51.8977,176.3193,283.8205
KUIPER-00046,7007.65858797638,51.8973,173.9355,280.732
KUIPER-00047,7007.68846664552,51.8972,146.7739,299.0719
KUIPER-00048,7007.66552017806,51.8985,146.6384,299.2425
KUIPER-00049,7007.66468048423,51.8987,161.1005,305.7661
KUIPER-00050,7007.6816006791,51.8993,141.7481,299.5407
KUIPER-00051,7007.17101247229,51.8993,157.8097,288.7745
KUIPER-00053,7002.09730628182,51.8994,155.2652,189.3665
KUIPER-00054,7007.68334952596,51.8977,149.1325,331.7627
KUIPER-00055,7007.70117267371,51.9012,104.3645,272.51
KUIPER-00056,7007.69075530473,51.9017,156.1794,297.1675
KUIPER-00057,7007.67481364837,51.8992,161.5634,285.7609
KUIPER-00058,7007.66840860048,51.8996,156.6568,299.9143
KUIPER-00059,7007.66937456537,51.8989,151.6748,287.8895
KUIPER-00060,7007.67841235099,51.9013,151.8811,283.4704
KUIPER-00061,7007.65817760068,51.8999,159.2248,299.2616
KUIPER-00062,7007.70510287297,51.895,161.7267,276.6238
KUIPER-00063,7007.68403454389,51.9013,168.9999,278.3999
KUIPER-00064,7007.6893031897,51.9009,166.4108,277.4758
KUIPER-00065,7007.62962191296,51.9025,171.6009,253.0883
KUIPER-00066,7007.64087242776,51.9023,111.4233,291.6686
KUIPER-00069,7007.64642825419,51.9002,211.1205,259.099
KUIPER-00070,7007.93023830493,51.8998,237.5005,288.1787
KUIPER-00071,7007.87548625468,51.9008,235.0254,263.9897
KUIPER-00072,7007.82714382672,51.8964,215.3306,286.136
KUIPER-00073,7007.66100603749,51.8995,235.1595,300.6182
KUIPER-00074,6689.23601462017,51.8827,157.2928,67.999
KUIPER-00075,6810.86415733676,51.8668,111.2907,81.8723
KUIPER-00076,7007.65940241448,51.9003,225.1335,250.9548
KUIPER-00077,7007.76653781247,51.9005,230.1697,267.3293
KUIPER-00078,7007.68854872154,51.8993,227.7889,266.5258
KUIPER-00079,7007.68144284099,51.8989,232.627,265.5206
KUIPER-00080,7007.65804501777,51.8991,232.4866,276.5685
KUIPER-00082,7007.69079949955,51.9011,220.4244,286.8578
KUIPER-00083,7007.67571016683,51.9003,227.645,257.0147
KUIPER-00084,7007.65536179365,51.901,237.6777,265.7151
KUIPER-00085,7007.67009114737,51.9021,218.5244,274.8185
KUIPER-00086,7007.70568056538,51.9005,230.3158,265.5422
KUIPER-00087,7007.655996297,51.8977,212.9976,273.1317
KUIPER-00089,7007.67027423884,51.8999,215.9513,271.1396
KUIPER-00090,7007.66906520403,51.8969,208.4267,273.5237
KUIPER-00091,7007.66951030556,51.9003,213.4543,290.3155
