ObjectName,OrbitalRadius[km],Inclination[deg],RAAN[deg],Anomaly[deg]
STARLINK-1008,6795.16913292644,53.1521,79.5579,240.8993
STARLINK-1012,6794.37790669363,53.1559,79.8479,233.2707
STARLINK-1017,6847.98966006537,53.0466,80.0292,295.8697
STARLINK-1020,6779.24465161829,53.1568,107.6751,269.3244
STARLINK-1036,6737.0582997899,53.0423,71.887,328.9538
STARLINK-1039,6856.85425323485,53.0571,129.0183,298.0692
STARLINK-1042,6781.76523858336,53.0432,349.8997,250.0336
STARLINK-1043,6756.8799137729,53.0494,82.4909,259.151
STARLINK-1046,6778.57781015544,53.0463,108.4971,281.6027
STARLINK-1047,6840.02298053801,53.0701,51.0429,235.0346
STARLINK-1048,6742.58481727031,53.0453,53.9849,280.6715
STARLINK-1063,6795.32265415773,53.1547,120.5263,271.9664
STARLINK-1067,6714.19767973314,53.0442,85.2229,215.263
STARLINK-1068,6718.6723265473,53.042,58.9195,191.0873
STARLINK-1114,6748.93008247395,53.0394,216.5018,341.5082
STARLINK-1123,6768.05964694983,53.1432,244.8346,24.6663
STARLINK-1094,6780.25172977799,53.1517,219.5495,1.6345
STARLINK-1122,6779.52413298147,53.1537,219.7967,2.0677
STARLINK-1080,6741.75324365895,53.0427,177.7132,313.9588
STARLINK-1090,6790.77419573243,53.1472,207.6919,354.1847
STARLINK-1132,6775.77988316847,53.1485,152.113,316.5828
STARLINK-1131,6785.57750458179,53.1551,184.3538,338.9682
STARLINK-1134,6765.70414924056,53.0233,132.4704,268.9844
STARLINK-1156,6837.25401873993,53.1549,188.8323,344.0929
STARLINK-1166,6763.79799999208,53.0431,163.8879,327.9255
STARLINK-1169,6827.09380857643,53.1534,187.1591,5.3904
STARLINK-1171,6721.96870489238,53.0379,132.7553,332.3504
STARLINK-1133,6837.37218998927,53.1555,165.7486,332.4296
STARLINK-1167,6830.11363758103,53.1558,164.7318,359.4551
STARLINK-1168,6836.86483775012,53.156,166.0344,330.5054
STARLINK-1172,6827.0596253383,53.1517,166.073,356.5215
STARLINK-1153,6829.814789984,53.156,166.5576,7.4579
STARLINK-1151,6683.92420037182,53.0471,116.6699,299.3941
STARLINK-1185,6804.57016803956,53.1565,146.7021,322.5341
STARLINK-1183,6837.43581935173,53.156,150.7519,317.3801
STARLINK-1152,6795.63026637786,53.0335,105.6133,264.2467
STARLINK-1184,6900.39580149694,53.0493,165.6142,309.3119
STARLINK-1193,6741.02627254487,53.0461,116.3348,350.723
STARLINK-1143,6673.87287640279,53.0308,204.207,229.4101
STARLINK-1202,6837.98746648455,53.1565,307.7699,93.8032
STARLINK-1216,6837.00435906335,53.1557,307.713,86.6386
STARLINK-1225,6836.88307255495,53.1567,307.8805,92.1759
STARLINK-1230,6837.37707605439,53.1548,307.9014,88.9114
STARLINK-1234,6721.1103642253,53.0349,207.6451,57.5808
STARLINK-1269,6837.18820897741,53.1562,307.7665,59.9994
STARLINK-1154,6753.25612629014,53.0419,261.789,352.7669
STARLINK-1199,6837.15648455362,53.1571,292.1756,47.1127
STARLINK-1209,6747.24750074413,53.0367,222.4407,88.9814
STARLINK-1231,6858.90564415147,53.0391,287.9521,287.3238
STARLINK-1271,6836.65013384835,53.1577,292.6048,50.3093
STARLINK-1191,6824.69894779128,53.1547,265.5888,92.0563
STARLINK-1212,6743.06330928141,53.0387,235.7244,306.1135
STARLINK-1215,6836.1072006542,53.1561,266.8725,45.6703
STARLINK-1221,6809.37416069645,53.0626,168.7256,10.9574
STARLINK-1222,6778.21355976397,53.0515,234.6713,345.5775
STARLINK-1226,6809.66184722435,53.1562,262.8413,46.8692
STARLINK-1227,6809.34431513151,53.154,262.5908,55.555
STARLINK-1246,6837.06754355554,53.1557,307.6691,80.0166
STARLINK-1270,6754.91428152524,53.0399,239.3619,28.0791
STARLINK-1279,6711.4064823933,53.035,339.3749,263.9326
STARLINK-1301,6703.80406100292,53.0351,342.8509,39.2678
STARLINK-1262,6839.9278463686,53.1553,72.7631,256.8187
STARLINK-1273,6771.74924527359,53.0443,47.1595,272.1688
STARLINK-1277,6751.00302581022,53.0421,40.8885,283.6244
STARLINK-1281,6837.4304315037,53.1577,72.3127,267.0281
STARLINK-1300,6835.70434344246,53.158,72.1475,249.0797
STARLINK-1302,6742.56005541219,53.0463,36.9054,268.7602
STARLINK-1304,6754.59040046173,53.0419,38.3358,252.0613
STARLINK-1305,6730.01914740551,53.0378,16.8466,107.2191
STARLINK-1319,6712.13596930666,53.0376,7.897,250.2367
STARLINK-1266,6746.91654146032,53.0456,23.4468,169.935
STARLINK-1267,6748.44664196236,53.0437,15.1558,225.0452
STARLINK-1272,6735.18957721845,53.0397,353.6934,245.5927
